image_path,category,price,available
data\products\backpack_0_1771054472729.jpg,backpack,500,False
data\products\backpack_10_1771054475342.jpg,backpack,750,True
data\products\backpack_11_1771054475787.jpg,backpack,1000,True
data\products\backpack_12_1771054475998.jpg,backpack,1250,True
data\products\backpack_13_1771054476098.jpg,backpack,1500,True
data\products\backpack_14_1771054476331.jpg,backpack,1750,False
data\products\backpack_15_1771054476730.jpg,backpack,2000,True
data\products\backpack_16_1771054477120.jpg,backpack,2250,True
data\products\backpack_17_1771054477015.jpg,backpack,2500,True
data\products\backpack_18_1771054477145.jpg,backpack,2750,True
data\products\backpack_19_1771054477802.jpg,backpack,3000,False
data\products\backpack_1_1771054472745.jpg,backpack,3250,True
data\products\backpack_20_1771054477848.jpg,backpack,3500,True
data\products\backpack_21_1771054478367.jpg,backpack,3750,True
data\products\backpack_22_1771054478552.jpg,backpack,4000,True
data\products\backpack_23_1771054478552.jpg,backpack,4250,False
data\products\backpack_24_1771054479263.jpg,backpack,4500,True
data\products\backpack_25_1771054479368.jpg,backpack,4750,True
data\products\backpack_26_1771054479835.jpg,backpack,5000,True
data\products\backpack_27_1771054479965.jpg,backpack,5250,True
data\products\backpack_28_1771054479966.jpg,backpack,500,False
data\products\backpack_29_1771054480611.jpg,backpack,750,True
data\products\backpack_2_1771054473191.jpg,backpack,1000,True
data\products\backpack_30_1771054480710.jpg,backpack,1250,True
data\products\backpack_31_1771054481289.jpg,backpack,1500,True
data\products\backpack_32_1771054481427.jpg,backpack,1750,False
data\products\backpack_33_1771054481174.jpg,backpack,2000,True
data\products\backpack_34_1771054482094.jpg,backpack,2250,True
data\products\backpack_35_1771054481879.jpg,backpack,2500,True
data\products\backpack_36_1771054482277.jpg,backpack,2750,True
data\products\backpack_37_1771054482336.jpg,backpack,3000,False
data\products\backpack_38_1771054482451.jpg,backpack,3250,True
data\products\backpack_39_1771054483203.jpg,backpack,3500,True
data\products\backpack_3_1771054473290.jpg,backpack,3750,True
data\products\backpack_40_1771054483062.jpg,backpack,4000,True
data\products\backpack_41_1771054483273.jpg,backpack,4250,False
data\products\backpack_42_1771054483649.jpg,backpack,4500,True
data\products\backpack_43_1771054483432.jpg,backpack,4750,True
data\products\backpack_44_1771054484398.jpg,backpack,5000,True
data\products\backpack_45_1771054484478.jpg,backpack,5250,True
data\products\backpack_46_1771054484240.jpg,backpack,500,False
data\products\backpack_47_1771054484560.jpg,backpack,750,True
data\products\backpack_48_1771054484967.jpg,backpack,1000,True
data\products\backpack_49_1771054485221.jpg,backpack,1250,True
data\products\backpack_4_1771054473950.jpg,backpack,1500,True
data\products\backpack_5_1771054473869.jpg,backpack,1750,False
data\products\backpack_6_1771054474160.jpg,backpack,2000,True
data\products\backpack_7_1771054474728.jpg,backpack,2250,True
data\products\backpack_8_1771054474758.jpg,backpack,2500,True
data\products\backpack_9_1771054475334.jpg,backpack,2750,True
data\products\bottle_0_1771054550088.jpg,bottle,3000,False
data\products\bottle_10_1771054552050.jpg,bottle,3250,True
data\products\bottle_11_1771054552857.jpg,bottle,3500,True
data\products\bottle_12_1771054552956.jpg,bottle,3750,True
data\products\bottle_13_1771054553064.jpg,bottle,4000,True
data\products\bottle_14_1771054553184.jpg,bottle,4250,False
data\products\bottle_15_1771054553057.jpg,bottle,4500,True
data\products\bottle_16_1771054554184.jpg,bottle,4750,True
data\products\bottle_17_1771054554359.jpg,bottle,5000,True
data\products\bottle_18_1771054554359.jpg,bottle,5250,True
data\products\bottle_19_1771054554073.jpg,bottle,500,False
data\products\bottle_1_1771054550574.jpg,bottle,750,True
data\products\bottle_20_1771054554371.jpg,bottle,1000,True
data\products\bottle_21_1771054555450.jpg,bottle,1250,True
data\products\bottle_22_1771054555047.jpg,bottle,1500,True
data\products\bottle_23_1771054555273.jpg,bottle,1750,False
data\products\bottle_24_1771054555767.jpg,bottle,2000,True
data\products\bottle_25_1771054555774.jpg,bottle,2250,True
data\products\bottle_26_1771054555963.jpg,bottle,2500,True
data\products\bottle_27_1771054556349.jpg,bottle,2750,True
data\products\bottle_28_1771054556807.jpg,bottle,3000,False
data\products\bottle_29_1771054556607.jpg,bottle,3250,True
data\products\bottle_2_1771054550325.jpg,bottle,3500,True
data\products\bottle_30_1771054556979.jpg,bottle,3750,True
data\products\bottle_31_1771054557430.jpg,bottle,4000,True
data\products\bottle_32_1771054558002.jpg,bottle,4250,False
data\products\bottle_33_1771054557357.jpg,bottle,4500,True
data\products\bottle_34_1771054558452.jpg,bottle,4750,True
data\products\bottle_35_1771054558252.jpg,bottle,5000,True
data\products\bottle_36_1771054558674.jpg,bottle,5250,True
data\products\bottle_37_1771054559029.jpg,bottle,500,False
data\products\bottle_38_1771054559281.jpg,bottle,750,True
data\products\bottle_39_1771054559665.jpg,bottle,1000,True
data\products\bottle_3_1771054550781.jpg,bottle,1250,True
data\products\bottle_40_1771054559695.jpg,bottle,1500,True
data\products\bottle_41_1771054559614.jpg,bottle,1750,False
data\products\bottle_42_1771054560236.jpg,bottle,2000,True
data\products\bottle_43_1771054560052.jpg,bottle,2250,True
data\products\bottle_44_1771054560569.jpg,bottle,2500,True
data\products\bottle_45_1771054560994.jpg,bottle,2750,True
data\products\bottle_46_1771054561217.jpg,bottle,3000,False
data\products\bottle_47_1771054561509.jpg,bottle,3250,True
data\products\bottle_48_1771054561155.jpg,bottle,3500,True
data\products\bottle_49_1771054561463.jpg,bottle,3750,True
data\products\bottle_4_1771054550728.jpg,bottle,4000,True
data\products\bottle_5_1771054551072.jpg,bottle,4250,False
data\products\bottle_6_1771054551459.jpg,bottle,4500,True
data\products\bottle_7_1771054551682.jpg,bottle,4750,True
data\products\bottle_8_1771054551552.jpg,bottle,5000,True
data\products\bottle_9_1771054551985.jpg,bottle,5250,True
data\products\chair_0_1771054524615.jpg,chair,500,False
data\products\chair_10_1771054526994.jpg,chair,750,True
data\products\chair_11_1771054526959.jpg,chair,1000,True
data\products\chair_12_1771054527400.jpg,chair,1250,True
data\products\chair_13_1771054527832.jpg,chair,1500,True
data\products\chair_14_1771054527817.jpg,chair,1750,False
data\products\chair_15_1771054528402.jpg,chair,2000,True
data\products\chair_16_1771054528430.jpg,chair,2250,True
data\products\chair_17_1771054528329.jpg,chair,2500,True
data\products\chair_18_1771054529255.jpg,chair,2750,True
data\products\chair_19_1771054528927.jpg,chair,3000,False
data\products\chair_1_1771054524597.jpg,chair,3250,True
data\products\chair_20_1771054529273.jpg,chair,3500,True
data\products\chair_21_1771054529185.jpg,chair,3750,True
data\products\chair_22_1771054529829.jpg,chair,4000,True
data\products\chair_23_1771054529848.jpg,chair,4250,False
data\products\chair_24_1771054530067.jpg,chair,4500,True
data\products\chair_25_1771054530050.jpg,chair,4750,True
data\products\chair_26_1771054530255.jpg,chair,5000,True
data\products\chair_27_1771054531197.jpg,chair,5250,True
data\products\chair_28_1771054530923.jpg,chair,500,False
data\products\chair_29_1771054531417.jpg,chair,750,True
data\products\chair_2_1771054524741.jpg,chair,1000,True
data\products\chair_30_1771054531163.jpg,chair,1250,True
data\products\chair_31_1771054531227.jpg,chair,1500,True
data\products\chair_32_1771054531834.jpg,chair,1750,False
data\products\chair_33_1771054531954.jpg,chair,2000,True
data\products\chair_34_1771054532335.jpg,chair,2250,True
data\products\chair_35_1771054532578.jpg,chair,2500,True
data\products\chair_36_1771054532417.jpg,chair,2750,True
data\products\chair_37_1771054532930.jpg,chair,3000,False
data\products\chair_38_1771054533267.jpg,chair,3250,True
data\products\chair_39_1771054533409.jpg,chair,3500,True
data\products\chair_3_1771054525158.jpg,chair,3750,True
data\products\chair_40_1771054533477.jpg,chair,4000,True
data\products\chair_41_1771054533660.jpg,chair,4250,False
data\products\chair_42_1771054534401.jpg,chair,4500,True
data\products\chair_43_1771054534415.jpg,chair,4750,True
data\products\chair_44_1771054534455.jpg,chair,5000,True
data\products\chair_45_1771054534435.jpg,chair,5250,True
data\products\chair_46_1771054534579.jpg,chair,500,False
data\products\chair_47_1771054535447.jpg,chair,750,True
data\products\chair_48_1771054535347.jpg,chair,1000,True
data\products\chair_49_1771054535319.jpg,chair,1250,True
data\products\chair_4_1771054525313.jpg,chair,1500,True
data\products\chair_5_1771054525857.jpg,chair,1750,False
data\products\chair_6_1771054525641.jpg,chair,2000,True
data\products\chair_7_1771054526056.jpg,chair,2250,True
data\products\chair_8_1771054526302.jpg,chair,2500,True
